ci,lum,absmag,spect
0.25,0.0011199535223848866,12.227,d
0.46,0.00022263836295529076,13.981,d
1.64,0.0008195963204818446,12.566,d
0.46,0.00018096725547887913,14.206,d
1.23,0.04003132821780236,8.344,d
0.40,0.0000719117735782509,15.208,d
0.35,0.00043893478553471695,13.244,d
0.38,18.897310544316767,1.659,d
0.97,0.00007848741034887301,15.113,d
0.42,0.00020044720273651594,14.095,d
0.49,0.00012167462039791298,14.637,d
0.15,0.0006600852070021588,12.801,d
0.14,0.0005743809134963175,12.952,d
1.36,0.03784425847170934,8.405,d
0.05,0.0008165823713585914,12.570,d
2.2,0.0000029484923138943666,18.676,d
0.44,0.00017668512984538804,14.232,d
1.63,0.0015573993890808542,11.869,d
0.06,0.0021008739692409887,11.544,d
0.17,0.0018113400926196006,11.705,d
1.72,0.0006886522963442748,12.755,d
1.04,0.14282360800191823,6.963,d
0.28,0.0003890451449942805,13.375,d
1.04,0.00004755541763152084,15.657,d
0.94,0.24389337302789127,6.382,d
0.19,0.00041917946593256325,13.294,d
1.62,0.0009700631337839572,12.383,d
1.54,0.002339914561055098,11.427,d
0.37,0.00022761453931416403,13.957,d
1.65,0.0004025316189742118,13.338,d
1.34,0.0834065197408663,7.547,d
-0.07,0.004458615279480702,10.727,d
1.72,0.0003584264080437139,13.464,d
0.1,0.0025003453616964295,11.355,d
1.79,0.00029187708481971425,13.687,d
0.14,0.0019373139245819552,11.632,d
0.95,0.00020417379446695296,14.075,d
1.16,0.00006234476611050053,15.363,d
0.25,0.0009790390174480516,12.373,d
0.26,0.0008348337537236499,12.546,d
0.07,0.003930067413418527,10.864,d
0.02,0.0027745975598804096,11.242,d
1.68,0.0008456682000993537,12.532,d
0.17,0.0006950243175887969,12.745,d
0.26,0.0005765009137698545,12.948,d
0.16,0.000307893130974161,13.629,d
1.76,0.00021577444091526647,14.015,d
0.23,0.0003008846276645724,13.654,d
1.7,0.00039518458892843616,13.358,d
1.9,0.00015732581854464666,14.358,d
1.59,0.0019213213114037243,11.641,d
1.66,0.0008653663429563477,12.507,d
1.36,0.01916019832068457,9.144,d
1.70,0.000556160319597592,12.987,d
1.60,0.0017108029875993287,11.767,d
0.19,0.0005675446054085465,12.965,d
0.63,0.0002312064790175594,13.940,d
1.90,0.000031017014994776896,16.121,d
0.22,0.00035350861336199703,13.479,d
1.55,0.003528580258285267,10.981,d
0.16,0.0010018437657240246,12.348,d
1.65,0.00037290653996215273,13.421,d
0.13,0.001984266498484641,11.606,d
